/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/Users/stefaniancu/Documents/Q-learning-CNN-in-Flappy-Bird-Environment/.venv/lib/python3.13/site-packages/gymnasium/utils/passive_env_checker.py:158: UserWarning: WARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
...
Episode  3459 | Reward:    8.40 | Avg(100):    7.66 | Epsilon: 0.0615 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70425 | Ep Time:   2.97s | Avg100 Time:   1.97s | Total Time:   43.35m
Episode  3460 | Reward:    1.70 | Avg(100):    7.66 | Epsilon: 0.0615 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70437 | Ep Time:   0.47s | Avg100 Time:   1.96s | Total Time:   43.36m
Episode  3461 | Reward:   16.70 | Avg(100):    7.79 | Epsilon: 0.0615 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70534 | Ep Time:   3.83s | Avg100 Time:   1.98s | Total Time:   43.43m
Episode  3462 | Reward:    7.60 | Avg(100):    7.81 | Epsilon: 0.0614 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70594 | Ep Time:   2.37s | Avg100 Time:   1.99s | Total Time:   43.47m
Episode  3463 | Reward:   27.40 | Avg(100):    8.02 | Epsilon: 0.0614 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70732 | Ep Time:   5.38s | Avg100 Time:   2.03s | Total Time:   43.56m
Episode  3464 | Reward:   -1.50 | Avg(100):    7.89 | Epsilon: 0.0614 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70764 | Ep Time:   1.24s | Avg100 Time:   2.02s | Total Time:   43.58m
Episode  3465 | Reward:   18.00 | Avg(100):    8.04 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70841 | Ep Time:   3.00s | Avg100 Time:   2.04s | Total Time:   43.63m
Episode  3466 | Reward:   14.60 | Avg(100):    8.10 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70895 | Ep Time:   2.09s | Avg100 Time:   2.04s | Total Time:   43.66m
Episode  3467 | Reward:   15.10 | Avg(100):    8.16 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70946 | Ep Time:   2.01s | Avg100 Time:   2.04s | Total Time:   43.69m
Episode  3468 | Reward:    3.90 | Avg(100):    8.09 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   70961 | Ep Time:   0.60s | Avg100 Time:   2.03s | Total Time:   43.70m
Episode  3469 | Reward:   13.10 | Avg(100):    8.15 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71004 | Ep Time:   1.72s | Avg100 Time:   2.01s | Total Time:   43.73m
Episode  3470 | Reward:   -1.40 | Avg(100):    8.13 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71019 | Ep Time:   0.57s | Avg100 Time:   2.00s | Total Time:   43.74m
Episode  3471 | Reward:    9.10 | Avg(100):    8.19 | Epsilon: 0.0613 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71051 | Ep Time:   1.25s | Avg100 Time:   2.00s | Total Time:   43.76m
Episode  3472 | Reward:    7.10 | Avg(100):    8.16 | Epsilon: 0.0612 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71096 | Ep Time:   1.77s | Avg100 Time:   2.00s | Total Time:   43.79m
Episode  3473 | Reward:    6.30 | Avg(100):    8.13 | Epsilon: 0.0612 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71164 | Ep Time:   2.67s | Avg100 Time:   2.00s | Total Time:   43.84m
Episode  3474 | Reward:   11.10 | Avg(100):    8.03 | Epsilon: 0.0612 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71197 | Ep Time:   1.27s | Avg100 Time:   1.99s | Total Time:   43.86m
Episode  3475 | Reward:    2.00 | Avg(100):    7.99 | Epsilon: 0.0612 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71218 | Ep Time:   0.82s | Avg100 Time:   1.98s | Total Time:   43.87m
Episode  3476 | Reward:   -0.40 | Avg(100):    7.94 | Epsilon: 0.0612 | Best Avg Reward:    7.83 | Best Reward:   37.00 | Steps:   71239 | Ep Time:   0.79s | Avg100 Time:   1.97s | Total Time:   43.88m
